epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,227.613,1.35946,0.8915,0.9877,0.38027,0.000330808,0.000330808,0.000330808
2,451.672,0.3225,0.9698,0.99217,0.07925,0.000657566,0.000657566,0.000657566
3,674.751,0.10026,0.97651,0.99776,0.06684,0.000977725,0.000977725,0.000977725
4,898.524,0.09818,0.99553,1,0.02075,0.0009703,0.0009703,0.0009703
5,1119.9,0.0419,0.99441,1,0.01434,0.0009604,0.0009604,0.0009604
6,1341.8,0.07026,0.99217,1,0.02379,0.0009505,0.0009505,0.0009505
7,1562.21,0.0417,0.99664,1,0.00733,0.0009406,0.0009406,0.0009406
8,1783.98,0.02987,0.99776,1,0.0074,0.0009307,0.0009307,0.0009307
9,2005.72,0.03086,0.99664,1,0.00702,0.0009208,0.0009208,0.0009208
10,2228.66,0.02721,0.99664,1,0.00747,0.0009109,0.0009109,0.0009109
11,2449.18,0.01967,0.99888,1,0.00399,0.000901,0.000901,0.000901
12,2676.49,0.01871,1,1,0.00315,0.0008911,0.0008911,0.0008911
13,2897.24,0.02284,0.99888,1,0.00335,0.0008812,0.0008812,0.0008812
14,3118.6,0.01776,0.99776,1,0.00355,0.0008713,0.0008713,0.0008713
15,3339.57,0.01277,0.99888,1,0.00364,0.0008614,0.0008614,0.0008614
16,3565.12,0.01532,1,1,0.00114,0.0008515,0.0008515,0.0008515
17,3784.68,0.00954,1,1,0.00137,0.0008416,0.0008416,0.0008416
18,4004.7,0.01132,1,1,0.00056,0.0008317,0.0008317,0.0008317
19,4227.29,0.00974,1,1,0.00068,0.0008218,0.0008218,0.0008218
20,4447.79,0.00573,1,1,0.00091,0.0008119,0.0008119,0.0008119
21,4667.9,0.00696,1,1,0.00012,0.000802,0.000802,0.000802
22,4887.41,0.00654,1,1,0.00019,0.0007921,0.0007921,0.0007921
23,5110.02,0.00959,0.99776,1,0.00449,0.0007822,0.0007822,0.0007822
24,5329.59,0.00799,1,1,6e-05,0.0007723,0.0007723,0.0007723
25,5552.18,0.00815,0.99888,1,0.00252,0.0007624,0.0007624,0.0007624
